Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
LSG,SRH,LSG,5 wickets,Lucknow,"Apr 7, 2023",Twenty20
KKR,RCB,KKR,81 runs,Eden Gardens,"Apr 6, 2023",Twenty20
RR,Punjab Kings,Punjab Kings,5 runs,Guwahati,"Apr 5, 2023",Twenty20
DC,GT,GT,6 wickets,Delhi,"Apr 4, 2023",Twenty20
CSK,LSG,CSK,12 runs,Chennai,"Apr 3, 2023",Twenty20
RCB,MI,RCB,8 wickets,Bengaluru,"Apr 2, 2023",Twenty20
SRH,RR,RR,72 runs,Hyderabad,"Apr 2, 2023",Twenty20
LSG,DC,LSG,50 runs,Lucknow,"Apr 1, 2023",Twenty20
Punjab Kings,KKR,Punjab Kings,7 runs,Mohali,"Apr 1, 2023",Twenty20
GT,CSK,GT,5 wickets,Ahmedabad,"Mar 31, 2023",Twenty20
Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
KKR,SRH,KKR,8 wickets,Chennai,"May 26, 2024",Twenty20
RR,SRH,SRH,36 runs,Chennai,"May 24, 2024",Twenty20
RR,RCB,RR,4 wickets,Ahmedabad,"May 22, 2024",Twenty20
KKR,SRH,KKR,8 wickets,Ahmedabad,"May 21, 2024",Twenty20
RR,KKR,no result,-,Guwahati,"May 19, 2024",Twenty20
SRH,Punjab Kings,SRH,4 wickets,Hyderabad,"May 19, 2024",Twenty20
RCB,CSK,RCB,27 runs,Bengaluru,"May 18, 2024",Twenty20
MI,LSG,LSG,18 runs,Wankhede,"May 17, 2024",Twenty20
RR,Punjab Kings,Punjab Kings,5 wickets,Guwahati,"May 15, 2024",Twenty20
DC,LSG,DC,19 runs,Delhi,"May 14, 2024",Twenty20
RCB,DC,RCB,47 runs,Bengaluru,"May 12, 2024",Twenty20
CSK,RR,CSK,5 wickets,Chennai,"May 12, 2024",Twenty20
KKR,MI,KKR,18 runs,Eden Gardens,"May 11, 2024",Twenty20
GT,CSK,GT,35 runs,Ahmedabad,"May 10, 2024",Twenty20
Punjab Kings,RCB,RCB,60 runs,Dharamsala,"May 9, 2024",Twenty20
SRH,LSG,SRH,10 wickets,Hyderabad,"May 8, 2024",Twenty20
DC,RR,DC,20 runs,Delhi,"May 7, 2024",Twenty20
MI,SRH,MI,7 wickets,Wankhede,"May 6, 2024",Twenty20
LSG,KKR,KKR,98 runs,Lucknow,"May 5, 2024",Twenty20
Punjab Kings,CSK,CSK,28 runs,Dharamsala,"May 5, 2024",Twenty20
RCB,GT,RCB,4 wickets,Bengaluru,"May 4, 2024",Twenty20
MI,KKR,KKR,24 runs,Wankhede,"May 3, 2024",Twenty20
SRH,RR,SRH,1 run,Hyderabad,"May 2, 2024",Twenty20
CSK,Punjab Kings,Punjab Kings,7 wickets,Chennai,"May 1, 2024",Twenty20
LSG,MI,LSG,4 wickets,Lucknow,"Apr 30, 2024",Twenty20
KKR,DC,KKR,7 wickets,Eden Gardens,"Apr 29, 2024",Twenty20
CSK,SRH,CSK,78 runs,Chennai,"Apr 28, 2024",Twenty20
GT,RCB,RCB,9 wickets,Ahmedabad,"Apr 28, 2024",Twenty20
LSG,RR,RR,7 wickets,Lucknow,"Apr 27, 2024",Twenty20
DC,MI,DC,10 runs,Delhi,"Apr 27, 2024",Twenty20
KKR,Punjab Kings,Punjab Kings,8 wickets,Eden Gardens,"Apr 26, 2024",Twenty20
SRH,RCB,RCB,35 runs,Hyderabad,"Apr 25, 2024",Twenty20
DC,GT,DC,4 runs,Delhi,"Apr 24, 2024",Twenty20
CSK,LSG,LSG,6 wickets,Chennai,"Apr 23, 2024",Twenty20
RR,MI,RR,9 wickets,Jaipur,"Apr 22, 2024",Twenty20
Punjab Kings,GT,GT,3 wickets,Mullanpur,"Apr 21, 2024",Twenty20
KKR,RCB,KKR,1 run,Eden Gardens,"Apr 21, 2024",Twenty20
DC,SRH,SRH,67 runs,Delhi,"Apr 20, 2024",Twenty20
LSG,CSK,LSG,8 wickets,Lucknow,"Apr 19, 2024",Twenty20
Punjab Kings,MI,MI,9 runs,Mullanpur,"Apr 18, 2024",Twenty20
GT,DC,DC,6 wickets,Ahmedabad,"Apr 17, 2024",Twenty20
KKR,RR,RR,2 wickets,Eden Gardens,"Apr 16, 2024",Twenty20
RCB,SRH,SRH,25 runs,Bengaluru,"Apr 15, 2024",Twenty20
MI,CSK,CSK,20 runs,Wankhede,"Apr 14, 2024",Twenty20
KKR,LSG,KKR,8 wickets,Eden Gardens,"Apr 14, 2024",Twenty20
Punjab Kings,RR,RR,3 wickets,Mullanpur,"Apr 13, 2024",Twenty20
LSG,DC,DC,6 wickets,Lucknow,"Apr 12, 2024",Twenty20
MI,RCB,MI,7 wickets,Wankhede,"Apr 11, 2024",Twenty20
RR,GT,GT,3 wickets,Jaipur,"Apr 10, 2024",Twenty20
Punjab Kings,SRH,SRH,2 runs,Mullanpur,"Apr 9, 2024",Twenty20
CSK,KKR,CSK,7 wickets,Chennai,"Apr 8, 2024",Twenty20
LSG,GT,LSG,33 runs,Lucknow,"Apr 7, 2024",Twenty20
MI,DC,MI,29 runs,Wankhede,"Apr 7, 2024",Twenty20
RR,RCB,RR,6 wickets,Jaipur,"Apr 6, 2024",Twenty20
SRH,CSK,SRH,6 wickets,Hyderabad,"Apr 5, 2024",Twenty20
GT,Punjab Kings,Punjab Kings,3 wickets,Ahmedabad,"Apr 4, 2024",Twenty20
DC,KKR,KKR,106 runs,Visakhapatnam,"Apr 3, 2024",Twenty20
RCB,LSG,LSG,28 runs,Bengaluru,"Apr 2, 2024",Twenty20
MI,RR,RR,6 wickets,Wankhede,"Apr 1, 2024",Twenty20
DC,CSK,DC,20 runs,Visakhapatnam,"Mar 31, 2024",Twenty20
GT,SRH,GT,7 wickets,Ahmedabad,"Mar 31, 2024",Twenty20
LSG,Punjab Kings,LSG,21 runs,Lucknow,"Mar 30, 2024",Twenty20
RCB,KKR,KKR,7 wickets,Bengaluru,"Mar 29, 2024",Twenty20
RR,DC,RR,12 runs,Jaipur,"Mar 28, 2024",Twenty20
SRH,MI,SRH,31 runs,Hyderabad,"Mar 27, 2024",Twenty20
CSK,GT,CSK,63 runs,Chennai,"Mar 26, 2024",Twenty20
RCB,Punjab Kings,RCB,4 wickets,Bengaluru,"Mar 25, 2024",Twenty20
GT,MI,GT,6 runs,Ahmedabad,"Mar 24, 2024",Twenty20
RR,LSG,RR,20 runs,Jaipur,"Mar 24, 2024",Twenty20
KKR,SRH,KKR,4 runs,Eden Gardens,"Mar 23, 2024",Twenty20
Punjab Kings,DC,Punjab Kings,4 wickets,Mullanpur,"Mar 23, 2024",Twenty20
CSK,RCB,CSK,6 wickets,Chennai,"Mar 22, 2024",Twenty20
